,type,cpu,network,mem,disk,k8s
service/carts/latency,0,8,10,9,13,7
,1,0,1,0,0,0
,2,0,0,0,1,0
,3,0,0,1,0,0
,4,4,1,0,0,0
service/carts/qps(2xx),0,1,0,1,1,1
,1,5,1,4,6,1
,2,5,8,0,1,1
,3,1,3,2,5,4
,4,0,0,3,1,0
service/catalogue/latency,0,11,11,8,11,3
,1,1,1,0,0,1
,2,0,0,0,1,0
,3,0,0,1,0,2
,4,0,0,1,2,1
service/catalogue/qps(2xx),0,2,0,3,7,1
,1,1,2,0,1,1
,2,2,8,1,2,1
,3,1,1,4,4,3
,4,6,1,2,0,1
service/front-end/latency,0,6,2,9,13,6
,1,0,4,0,0,0
,2,5,2,0,1,0
,3,1,3,0,0,0
service/front-end/qps(2xx),0,2,5,1,0,0
,1,1,0,2,6,1
,2,1,2,1,4,2
,3,0,0,1,0,1
,4,6,1,2,1,1
,5,2,3,2,2,1
,6,0,0,0,1,0
service/orders/latency,0,4,2,6,10,4
,1,2,1,0,0,0
,2,0,2,0,1,0
,3,3,4,0,0,0
,4,2,1,2,2,1
service/orders/qps(2xx),0,5,4,2,2,1
,1,1,0,3,6,1
,2,0,1,0,2,0
,3,1,1,1,2,3
,4,4,1,1,0,0
,5,0,1,0,1,1
,6,0,3,1,0,0
service/payment/latency,0,12,9,6,12,7
,1,0,1,0,0,0
,2,0,0,0,1,0
,3,0,2,1,0,0
,4,0,0,3,1,0
service/payment/qps(2xx),0,4,1,3,6,1
,1,0,2,0,2,2
,2,5,7,3,2,1
,3,1,0,1,1,1
,4,1,1,1,2,1
service/shipping/latency,0,0,1,0,0,0
,1,10,9,8,12,5
,2,0,0,0,1,0
,3,1,0,0,0,0
service/shipping/qps(2xx),0,1,0,2,6,1
,1,0,3,2,0,0
,2,4,1,1,0,0
,3,5,4,1,2,1
,4,0,3,1,5,3
,5,1,0,1,0,0
service/user/latency,0,10,10,9,13,6
,1,1,1,1,0,1
,2,0,0,0,1,0
,3,1,1,0,0,0
service/user/qps(2xx),0,6,0,4,6,1
,1,1,3,2,5,4
,2,0,1,0,0,0
,3,2,2,0,0,0
,4,2,5,3,2,1
